phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",0
"(0.1, 0.1)",0.002
"(0.1, 0.2)",0.003
"(0.1, 0.3)",0
"(0.1, 0.4)",0.001
"(0.1, 0.5)",-0.006
"(0.1, 0.6)",-0.001
"(0.1, 0.7)",0.002
"(0.1, 0.8)",0.002
"(0.1, 0.9)",0.002
"(0.1, 1.0)",-0.008
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.008
"(0.2, 0.2)",0.002
"(0.2, 0.3)",-0.012
"(0.2, 0.4)",-0.014
"(0.2, 0.5)",0.008
"(0.2, 0.6)",-0.005
"(0.2, 0.7)",-0.007
"(0.2, 0.8)",-0.012
"(0.2, 0.9)",0.002
"(0.2, 1.0)",-0.007
"(0.3, 0.0)",0
"(0.3, 0.1)",0
"(0.3, 0.2)",-0.019
"(0.3, 0.3)",-0.015
"(0.3, 0.4)",-0.021
"(0.3, 0.5)",-0.009
"(0.3, 0.6)",0
"(0.3, 0.7)",-0.024
"(0.3, 0.8)",-0.011
"(0.3, 0.9)",-0.007
"(0.3, 1.0)",-0.003
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.009
"(0.4, 0.2)",-0.017
"(0.4, 0.3)",-0.018
"(0.4, 0.4)",0.001
"(0.4, 0.5)",-0.023
"(0.4, 0.6)",-0.035
"(0.4, 0.7)",-0.01
"(0.4, 0.8)",-0.008
"(0.4, 0.9)",-0.008
"(0.4, 1.0)",-0.003
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.013
"(0.5, 0.2)",-0.01
"(0.5, 0.3)",-0.01
"(0.5, 0.4)",-0.004
"(0.5, 0.5)",0.01
"(0.5, 0.6)",0.001
"(0.5, 0.7)",-0.012
"(0.5, 0.8)",0.01
"(0.5, 0.9)",0
"(0.5, 1.0)",0
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.019
"(0.6, 0.2)",-0.017
"(0.6, 0.3)",0.008
"(0.6, 0.4)",-0.019
"(0.6, 0.5)",-0.033
"(0.6, 0.6)",-0.009
"(0.6, 0.7)",-0.036
"(0.6, 0.8)",-0.032
"(0.6, 0.9)",0.004
"(0.6, 1.0)",-0.011
"(0.7, 0.0)",0
"(0.7, 0.1)",0.007
"(0.7, 0.2)",0.004
"(0.7, 0.3)",0
"(0.7, 0.4)",-0.035
"(0.7, 0.5)",-0.023
"(0.7, 0.6)",-0.024
"(0.7, 0.7)",-0.03
"(0.7, 0.8)",-0.003
"(0.7, 0.9)",0
"(0.7, 1.0)",-0.022
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.009
"(0.8, 0.2)",-0.025
"(0.8, 0.3)",-0.023
"(0.8, 0.4)",0
"(0.8, 0.5)",0.014
"(0.8, 0.6)",0.003
"(0.8, 0.7)",0.01
"(0.8, 0.8)",-0.005
"(0.8, 0.9)",0.014
"(0.8, 1.0)",-0.013
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.002
"(0.9, 0.2)",-0.006
"(0.9, 0.3)",0.015
"(0.9, 0.4)",-0.022
"(0.9, 0.5)",0.026
"(0.9, 0.6)",-0.03
"(0.9, 0.7)",0.017
"(0.9, 0.8)",-0.008
"(0.9, 0.9)",0.005
"(0.9, 1.0)",-0.041
"(1.0, 0.0)",0
"(1.0, 0.1)",0.002
"(1.0, 0.2)",-0.016
"(1.0, 0.3)",0.008
"(1.0, 0.4)",0.005
"(1.0, 0.5)",-0.021
"(1.0, 0.6)",0.005
"(1.0, 0.7)",0.008
"(1.0, 0.8)",0.003
"(1.0, 0.9)",0.001
"(1.0, 1.0)",-0.002
